project_id,pic,partner_role,pillar_abbr,pillar_descr,thematic_priority_abbr,signature_date,call_deadline_date,eu_contribution,legal_name,legal_short_name,legal_entity_type,country_code,legal_url,ec_contribution,net_ec_contribution,project_acronym,thematic_priority,topic_code,topic_description,participations,framework_programme,start_date,end_date,legal_basis,funding_scheme,country,re_contribution,pillar,signature_year,call_year,start_year
200239,999738067,Participant,NA,NA,NA,NA,NA,NA,UNIONCAMERE PIEMONTE,UCP,PUB,IT,www.pie.camcom.it,16800,NA,REASON,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,6,FP7,2007-06-01,2007-11-30,FP7-PEOPLE,CSA-SA,Italy,16800,NA,NA,NA,2007
200239,999861936,Coordinator,NA,NA,NA,NA,NA,NA,UNIVERSITA DEGLI STUDI DI TORINO,UNITO,HES,IT,http://www.unito.it,19700,NA,REASON,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,6,FP7,2007-06-01,2007-11-30,FP7-PEOPLE,CSA-SA,Italy,19700,NA,NA,NA,2007
200239,999905392,Participant,NA,NA,NA,NA,NA,NA,UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,UPO,HES,IT,http://www.unipmn.it,5800,NA,REASON,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,6,FP7,2007-06-01,2007-11-30,FP7-PEOPLE,CSA-SA,Italy,5800,NA,NA,NA,2007
200239,999927508,Participant,NA,NA,NA,NA,NA,NA,CENTROSCIENZA ONLUS ASSOCIAZIONE,CENTROSCIENZA ONLUS ASSOCIAZIONE,OTH,IT,www.centroscienza.it,13300,NA,REASON,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,6,FP7,2007-06-01,2007-11-30,FP7-PEOPLE,CSA-SA,Italy,13300,NA,NA,NA,2007
200239,999599357,Participant,NA,NA,NA,NA,NA,NA,ISTITUTO SUPERIORE MARIO BOELLA SULLE TECNOLOGIE DELL'INFORMAZIONE E DELLE  TELECOMUNICAZIONI ASSOCIAZIONE,ISMB,REC,IT,www.ismb.it,8200,NA,REASON,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,6,FP7,2007-06-01,2007-11-30,FP7-PEOPLE,CSA-SA,Italy,8200,NA,NA,NA,2007
200239,999977754,Participant,NA,NA,NA,NA,NA,NA,POLITECNICO DI TORINO,POLITO,HES,IT,http://www.polito.it,6200,NA,REASON,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,6,FP7,2007-06-01,2007-11-30,FP7-PEOPLE,CSA-SA,Italy,6200,NA,NA,NA,2007
215180,999868823,Participant,NA,NA,NA,NA,NA,NA,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,SLOVAK UNIVERSITY OF TECHNOLOGY IN BRATISLVA - STUBA,HES,SK,http://www.stuba.sk,43067,NA,IDESA,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,8,FP7,2007-12-01,2010-11-30,FP7-ICT,CSA,Slovakia,43067,NA,NA,NA,2007
215180,999992401,Participant,NA,NA,NA,NA,NA,NA,COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,CEA,REC,FR,http://www.cea.fr,64479,NA,IDESA,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,8,FP7,2007-12-01,2010-11-30,FP7-ICT,CSA,France,64479,NA,NA,NA,2007
215180,999981149,Coordinator,NA,NA,NA,NA,NA,NA,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,IMEC,REC,BE,http://www.imec.be,676059,NA,IDESA,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,8,FP7,2007-12-01,2010-11-30,FP7-ICT,CSA,Belgium,676059,NA,NA,NA,2007
215180,999973971,Participant,NA,NA,NA,NA,NA,NA,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,EPFL,HES,CH,http://www.epfl.ch,272599,NA,IDESA,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,8,FP7,2007-12-01,2010-11-30,FP7-ICT,CSA,Switzerland,272599,NA,NA,NA,2007
