project_id,pic,legal_name,legal_short_name,legal_entity_type,country_code,legal_url,partner_role,ec_contribution,net_ec_contribution,pillar_abbr,pillar_descr,thematic_priority_abbr,signature_date,call_deadline_date,eu_contribution,project_acronym,thematic_priority,topic_code,topic_description,participations,framework_programme,start_date,end_date,legal_basis,funding_scheme,pillar,re_contribution,signature_year,call_year,start_year,country
101028292,999977366,TECHNISCHE UNIVERSITEIT DELFT,TU Delft,HES,NL,http://www.tudelft.nl,Coordinator,187572.48,187572.48,EU.1.,Excellent Science,MSCA,2021-04-27,2020-09-09,187572.48,GASCLAY,Marie Sklodowska-Curie actions,MSCA-IF-2020,Individual Fellowships,1,H2020,2022-03-01,2024-02-29,H2020-EU.1.3.,MSCA-IF-EF-ST,1,187572.48,2021,2020,2022,Netherlands
101036480,932760440,TEKNOLOGIAN TUTKIMUSKESKUS VTT OY,VTT,REC,FI,http://www.vtt.fi,Participant,500445,500445,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,500445,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,500445,2021,2021,2022,Finland
101036480,990657800,UNIVERSITA TELEMATICA INTERNAZIONALE-UNINETTUNO,UNINETTUNO,HES,IT,NA,Coordinator,993125,993125,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,993125,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,993125,2021,2021,2022,Italy
101036480,997718624,University of Novi Sad Faculty of Sciences,UNSPMF,HES,RS,http://www.pmf.uns.ac.rs,Participant,195000,195000,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,195000,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,195000,2021,2021,2022,Serbia
101036480,997056017,MANFRED MUDELSEE,CLIMATE RISK ANALYSIS,PRC,DE,http://www.mudelsee.com,Participant,274312.5,274312.5,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,274312.5,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,274312.5,2021,2021,2022,Germany
101036480,924715939,FUNDATIA SCHOOL FOR EUROPE,SCHOOL FOR EUROPE FOUNDATION,OTH,RO,NA,Participant,106250,106250,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,106250,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,106250,2021,2021,2022,Romania
101036480,922880505,AGORIZE SAS,Agorize,PRC,FR,NA,Participant,414653.75,414653.75,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,414653.75,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,414653.75,2021,2021,2022,France
101036480,934896477,4SFERA INNOVA SOCIEDAD LIMITADA,NA,PRC,ES,NA,Participant,465762.5,465762.5,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,465762.5,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,465762.5,2021,2021,2022,Spain
101036480,890390452,VIIPURIN REAALIKOULU OY,NA,HES,FI,NA,Participant,0,0,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,0,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,0,2021,2021,2022,Finland
101036480,953171083,FONDEN TEKNOLOGIRADET,DBT - DANISH BOARD OF TECHNOLOGY FOUNDATION,REC,DK,www.tekno.dk,Participant,527125,527125,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,527125,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,527125,2021,2021,2022,Denmark
