framework_programme,call_id,topic_code,topic_descr,project_id,cordis_link,project_acronym,project_title,partner_role,partner_type,pic,legal_entity_vat,legal_name,legal_entity_type,legal_entity_type_descr,city,nuts_3_code,nuts_3_name,country_code,country,eu_contribution,h2020_net_eu_contribution,h2020_total_cost,signature_date,call_deadline_date,thematic_priority_abbr,thematic_priority_descr,sme_flag,project_start_date,project_end_date,pillar_abbr,pillar_descr,simplified_type_of_action,focus_area,call_year
H2020,H2020-IBA-CROSS-GEOSS-2021,IBA-CROSS-GEOSS-2021,Delivery of knowledge for climate adaptation and mitigation through the GEOSS infrastructure (Global Earth Observation System of Systems),101039118,http://cordis.europa.eu/project/id/101039118,GPP,GEOSS Platform Plus,COORDINATOR,BENEFICIARY,999644559,.,EUROPEAN SPACE AGENCY,REC,Research organisations,PARIS,FR101,Paris,FR,France,2500000,2500000,2500000,29/11/2021,25/03/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/01/2022,31/12/2024,EU.3.,Societal Challenges,Coordination and support action,Not applicable,2021
H2020,H2020-IBA-INFRA-ESFRI-Presidency-2021,IBA-INFRA-ESFRI-Presidency-2021,Presidency event: Launch of 2021 ESFRI Roadmap,101036214,http://cordis.europa.eu/project/id/101036214,MIZS-ESFRI,SLOVENIAN PRESIDENCY EVENT: LAUNCH OF ESFRI ROADMAP 2021,COORDINATOR,BENEFICIARY,953355965,SI14246821,"Ministrstvo za izobrazevanje, znanost in sport",PUB,Public body (excl. research and education),LJUBLJANA,SI041,Osrednjeslovenska,SI,Slovenia,99660,99660,99660,02/06/2021,19/01/2021,INFRA,Research infrastructures,No,01/04/2021,28/02/2022,EU.1.,Excellent Science,Coordination and support action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,COORDINATOR,BENEFICIARY,999884828,DE215420431,KLINIKUM DER UNIVERSITAET ZU KOELN,HES,Higher or secondary education,KOELN,DEA23,"Köln, Kreisfreie Stadt",DE,Germany,7734755.29,7734755.29,7734755.29,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,891415257,EL997488675,KENTRO KLINIKIS EPIDIMIOLOGIAS KAI EKVASIS NOSIMATON,REC,Research organisations,ATHINA,EL303,Κεντρικός Τομέας Αθηνών,EL,Greece,342188.98,342188.98,342188.98,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,897691060,FR65130025737,UNIVERSITE DE PARIS,HES,Higher or secondary education,PARIS,FR101,Paris,FR,France,262500,262500,262500,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,918583890,SK2120169865,BIOMEDICINSKE CENTRUM SLOVENSKEJ AKADEMIE VIED,REC,Research organisations,BRATISLAVA,SK010,Bratislavský kraj,SK,Slovakia,92361.25,92361.25,92361.25,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,944702304,PL5420211717,UNIWERSYTET MEDYCZNY W BIALYMSTOKU,HES,Higher or secondary education,BIALYSTOK,PL841,Białostocki,PL,Poland,106111.25,106111.25,106111.25,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,948646712,FR91801933235,ECRIN EUROPEAN CLINICAL RESEARCH INFRASTRUCTURE NETWORK,REC,Research organisations,PARIS,FR101,Paris,FR,France,1986375,1986375,1986375,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,950258852,PT508331471,CENTRO HOSPITALAR UNIVERSITARIO DO PORTO EPE,PUB,Public body (excl. research and education),PORTO,PT11A,Área Metropolitana do Porto,PT,Portugal,292119.69,292119.69,292119.69,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,991543701,DE815127939,EUROPEAN VACCINE INITIATIVE EWIV,REC,Research organisations,HEIDELBERG,DED21,"Dresden, Kreisfreie Stadt",DE,Germany,2355369,2355369,2355369,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
