pillar,thematic_priority,contrib,contrib_txt
I. Excellent Science,ERC,942923222.12,M€942.92
I. Excellent Science,FET,201200095.26,M€201.20
I. Excellent Science,INFRA,61229050.47,M€61.23
I. Excellent Science,MSCA,252014808.72,M€252.01
II. Industrial Leadership,INNOSUPSME,100899194.52,M€100.90
II. Industrial Leadership,LEIT,118125,M€0.12
II. Industrial Leadership,LEIT-ADVMANU,42745862.27,M€42.75
II. Industrial Leadership,LEIT-ADVMAT,21700543.78,M€21.70
II. Industrial Leadership,LEIT-BIOTECH,5224777.84,M€5.22
II. Industrial Leadership,LEIT-ICT,130891732.8,M€130.89
II. Industrial Leadership,LEIT-NMP,7698348.01,M€7.70
II. Industrial Leadership,LEIT-SPACE,12531083.87,M€12.53
II. Industrial Leadership,RISKFINANCE,0,M€0.00
III. Societal Challenges,ENERGY,90749567.02,M€90.75
III. Societal Challenges,ENV,45522692.34,M€45.52
III. Societal Challenges,FOOD,59060178.56,M€59.06
III. Societal Challenges,HEALTH,139667100.36,M€139.67
III. Societal Challenges,SECURITY,22590794.21,M€22.59
III. Societal Challenges,SOCCHAL-CROSST,9022139.75,M€9.02
III. Societal Challenges,SOCIETY,6620726.1,M€6.62
III. Societal Challenges,TPT,61274024.58,M€61.27
IV. Spreading excellence and widening participation,,5981840.5,M€5.98
V. Science with and for Society,,4008107.67,M€4.01
Euratom,,44685561.75,M€44.69
Cross-theme,,10693671.42,M€10.69
